Fee Description,Amount,Currency,Status,Department,Assessed Date,Payment Date,Invoice
Plan Check Fee,305.2,USD,PAID,Building,2021-01-25,1/25/21 11:00 AM,
Surcharge - Building Technology Fee,20,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
State SMIP Fee,2.69,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
Building Permit Fee,436,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
State Building Standards Fee,0.9,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
Electrical Permit Fee,87.2,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
State Building Standards Fee - Admin Surcharge,0.1,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
General Plan Update Surcharge,26,USD,PAID,Building,2021-03-15,3/15/21 11:21 AM,
Permit Streamlining Surcharge,16,USD,PAID,Planning,2021-03-15,3/15/21 11:21 AM,
Associate Civil Engineer Review/Inspection,67,USD,PAID,Building,2021-03-26,3/26/21 7:41 AM,
Permit Streamlining Surcharge,2,USD,PAID,Planning,2021-03-26,3/26/21 7:41 AM,
Surcharge - Engineering Technology Fee,2.5,USD,PAID,Public Works,2021-03-26,3/26/21 7:41 AM,
Permit Streamlining Surcharge,2,USD,PAID,Planning,2021-05-26,5/26/21 11:19 AM,
Surcharge - Planning Technology Fee,2,USD,PAID,Planning,2021-05-26,5/26/21 11:19 AM,
General Plan Update Surcharge,2,USD,PAID,Building,2021-05-26,5/26/21 11:19 AM,
Planning Over-the-Counter Permit Review Fee,51,USD,PAID,Building,2021-05-26,5/26/21 11:19 AM,
Permit Streamlining Surcharge,2,USD,PEND,Planning,,,
Surcharge - Planning Technology Fee,2,USD,PEND,Planning,,,
General Plan Update Surcharge,2,USD,PEND,Building,,,
Planning Over-the-Counter Permit Review Fee,51,USD,PEND,Building,,,
